2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-03-03/11:28:06		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:07		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
2022-03-03/11:28:08		 wafer_23012020_041211.csv: File loaded successfully!!
